,ResultId,RaceId,Year,GP,CircuitId,DriverId,ConstructorId,Constructor Name,Driver Name,Circuit,Final position,DNF,Fastest Lap Rank,Grid position,Average pace,Q1,Q2,Q3,Qualifying position,Victories,Drivers points,Constructors points,Constructors victories,Start from Pitlane,Total gained/lost positions,Index DNF/Driver,Index DNF/Constructor,Average Lost laps,Circuit Speed,Result_Race-1,Result_Race-2,Result_Race-3,Result_Race-4,Result_Race-5
0,23379.0,969,2017,1,1,20,6,Ferrari,Vettel,albert_park,1.0,0.0,3,2.0,88625.82456140351,1:25.210,1:23.401,1:22.456,2.0,1,0.0,0.0,1,0,0.0,0.7000000000000001,0.875,0.0,211.0,10.0,10.0,10.0,10.0,10.0
20,23380.0,969,2017,1,1,1,131,Mercedes,Hamilton,albert_park,2.0,0.0,6,1.0,88800.82456140351,1:24.191,1:23.251,1:22.188,1.0,0,0.0,0.0,0,0,0.0,0.0,0.17500000000000002,0.0,211.0,10.0,10.0,10.0,10.0,10.0
21,23381.0,969,2017,1,1,822,131,Mercedes,Bottas,albert_park,3.0,0.0,2,3.0,88823.19298245614,1:24.514,1:23.215,1:22.481,3.0,0,0.0,0.0,0,0,0.0,0.35000000000000003,0.17500000000000002,0.0,211.0,10.0,10.0,10.0,10.0,10.0
1,23382.0,969,2017,1,1,8,6,Ferrari,Räikkönen,albert_park,4.0,0.0,1,4.0,89018.68421052632,1:24.352,1:23.376,1:23.033,4.0,0,0.0,0.0,1,0,0.0,1.05,0.875,0.0,211.0,10.0,10.0,10.0,10.0,10.0
32,23383.0,969,2017,1,1,830,9,Red Bull,Verstappen,albert_park,5.0,0.0,5,5.0,89131.56140350878,1:24.482,1:24.092,1:23.485,5.0,0,0.0,0.0,0,0,0.0,2.4499999999999997,2.275,0.0,211.0,10.0,10.0,10.0,10.0,10.0
58,23384.0,969,2017,1,1,13,3,Williams,Massa,albert_park,6.0,0.0,9,7.0,90088.73684210527,1:25.099,1:24.597,1:24.443,7.0,0,0.0,0.0,0,0,0.0,0.7368421052631579,1.2249999999999999,0.0,211.0,10.0,10.0,10.0,10.0,10.0
52,23385.0,969,2017,1,1,815,10,Force India,Pérez,albert_park,7.0,0.0,10,10.0,90492.48214285714,1:25.064,1:25.081,\N,11.0,0,0.0,0.0,0,0,0.0,0.35000000000000003,0.35000000000000003,0.0,211.0,10.0,10.0,10.0,10.0,10.0
14,23386.0,969,2017,1,1,832,5,Toro Rosso,Sainz,albert_park,8.0,0.0,8,8.0,90515.58928571429,1:25.542,1:24.997,1:24.487,8.0,0,0.0,0.0,0,0,0.0,2.8000000000000003,2.1,0.0,211.0,10.0,10.0,10.0,10.0,10.0
15,23387.0,969,2017,1,1,826,5,Toro Rosso,Kvyat,albert_park,9.0,0.0,4,9.0,90758.67857142857,1:25.970,1:24.864,1:24.512,9.0,0,0.0,0.0,0,0,0.0,1.8666666666666667,2.1,0.0,211.0,10.0,10.0,10.0,10.0,10.0
53,23388.0,969,2017,1,1,839,10,Force India,Ocon,albert_park,10.0,0.0,11,13.0,91430.625,1:26.009,1:25.568,\N,14.0,0,0.0,0.0,0,0,0.0,0.35000000000000003,0.35000000000000003,0.0,211.0,10.0,10.0,10.0,10.0,10.0
64,23389.0,969,2017,1,1,807,4,Renault,Hülkenberg,albert_park,11.0,0.0,12,11.0,91448.66071428571,1:24.975,1:25.091,\N,12.0,0,0.0,0.0,0,0,0.0,2.1,2.275,0.0,211.0,10.0,10.0,10.0,10.0,10.0
66,23390.0,969,2017,1,1,841,15,Sauber,Giovinazzi,albert_park,12.0,0.0,13,16.0,92441.18181818182,1:26.419,\N,\N,16.0,0,0.0,0.0,0,0,0.0,3.5,1.75,0.0,211.0,10.0,10.0,10.0,10.0,10.0
68,23391.0,969,2017,1,1,838,1,McLaren,Vandoorne,albert_park,13.0,0.0,15,18.0,92705.58181818182,1:26.858,\N,\N,18.0,0,0.0,0.0,0,0,0.0,2.1,2.4499999999999997,0.0,211.0,10.0,10.0,10.0,10.0,10.0
69,23392.0,969,2017,1,1,4,1,McLaren,Alonso,albert_park,14.0,1.0,17,12.0,91728.38,1:25.872,1:25.425,\N,13.0,0,0.0,0.0,0,0,0.0,2.5789473684210527,2.4499999999999997,0.0,211.0,10.0,10.0,10.0,10.0,10.0
72,23393.0,969,2017,1,1,825,210,Haas F1 Team,Magnussen,albert_park,15.0,1.0,7,17.0,93984.71739130435,1:26.847,\N,\N,17.0,0,0.0,0.0,0,0,0.0,1.75,1.4000000000000001,0.0,211.0,10.0,10.0,10.0,10.0,10.0
59,23394.0,969,2017,1,1,840,3,Williams,Stroll,albert_park,16.0,1.0,14,20.0,92860.525,1:27.143,\N,\N,19.0,0,0.0,0.0,0,0,0.0,1.4000000000000001,1.2249999999999999,0.0,211.0,10.0,10.0,10.0,10.0,10.0
33,23395.0,969,2017,1,1,817,9,Red Bull,Ricciardo,albert_park,17.0,1.0,16,21.0,98880.04,1:25.383,1:23.989,\N,10.0,0,0.0,0.0,0,1,0.0,2.1,2.275,0.0,211.0,10.0,10.0,10.0,10.0,10.0
67,23396.0,969,2017,1,1,828,15,Sauber,Ericsson,albert_park,18.0,1.0,19,14.0,94355.71428571429,1:26.236,1:26.465,\N,15.0,0,0.0,0.0,0,0,0.0,2.1,1.75,0.0,211.0,10.0,10.0,10.0,10.0,10.0
65,23397.0,969,2017,1,1,835,4,Renault,Palmer,albert_park,19.0,1.0,20,19.0,96512.2,1:28.244,\N,\N,20.0,0,0.0,0.0,0,0,0.0,2.1875,2.275,0.0,211.0,10.0,10.0,10.0,10.0,10.0
73,23398.0,969,2017,1,1,154,210,Haas F1 Team,Grosjean,albert_park,20.0,1.0,18,6.0,91334.07692307692,1:25.419,1:24.718,1:24.074,6.0,0,0.0,0.0,0,0,0.0,1.05,1.4000000000000001,0.0,211.0,10.0,10.0,10.0,10.0,10.0
96,23399.0,970,2017,2,17,1,131,Mercedes,Hamilton,shanghai,1.0,0.0,1,1.0,104574.25,1:33.333,1:32.406,1:31.678,1.0,1,18.0,33.0,1,0,-1.0,0.0,0.125,0.0,194.0,2.0,10.0,10.0,10.0,10.0
80,23400.0,970,2017,2,17,20,6,Ferrari,Vettel,shanghai,2.0,0.0,2,2.0,104685.85714285714,1:33.078,1:32.391,1:31.864,2.0,1,25.0,37.0,1,0,1.0,0.5,0.625,0.0,194.0,1.0,10.0,10.0,10.0,10.0
104,23401.0,970,2017,2,17,830,9,Red Bull,Verstappen,shanghai,3.0,0.0,7,16.0,105381.25,1:35.433,\N,\N,19.0,0,10.0,10.0,0,0,0.0,1.75,1.625,0.0,194.0,5.0,10.0,10.0,10.0,10.0
105,23402.0,970,2017,2,17,817,9,Red Bull,Ricciardo,shanghai,4.0,0.0,8,5.0,105396.30357142857,1:34.041,1:33.546,1:33.033,5.0,0,0.0,10.0,0,0,4.0,1.5,1.625,0.0,194.0,17.0,10.0,10.0,10.0,10.0
81,23403.0,970,2017,2,17,8,6,Ferrari,Räikkönen,shanghai,5.0,0.0,4,4.0,105432.75,1:33.341,1:32.181,1:32.140,4.0,0,12.0,37.0,1,0,0.0,0.75,0.625,0.0,194.0,4.0,10.0,10.0,10.0,10.0
97,23404.0,970,2017,2,17,822,131,Mercedes,Bottas,shanghai,6.0,0.0,3,3.0,105445.82142857143,1:33.684,1:32.552,1:31.865,3.0,0,15.0,33.0,1,0,0.0,0.25,0.125,0.0,194.0,3.0,10.0,10.0,10.0,10.0
90,23405.0,970,2017,2,17,832,5,Toro Rosso,Sainz,shanghai,7.0,0.0,10,11.0,105875.91071428571,1:34.567,1:34.150,\N,11.0,0,4.0,6.0,0,0,0.0,2.0,1.5,1.0,194.0,8.0,10.0,10.0,10.0,10.0
134,23406.0,970,2017,2,17,825,210,Haas F1 Team,Magnussen,shanghai,8.0,0.0,11,12.0,106651.70909090909,1:34.942,1:34.164,\N,12.0,0,0.0,0.0,0,0,2.0,1.25,1.0,0.0,194.0,15.0,10.0,10.0,10.0,10.0
116,23407.0,970,2017,2,17,815,10,Force India,Pérez,shanghai,9.0,0.0,6,8.0,106910.72727272728,1:34.657,1:33.920,1:33.706,8.0,0,6.0,7.0,0,0,3.0,0.25,0.25,1.0,194.0,7.0,10.0,10.0,10.0,10.0
117,23408.0,970,2017,2,17,839,10,Force India,Ocon,shanghai,10.0,0.0,9,17.0,107030.32727272727,1:35.496,\N,\N,20.0,0,1.0,7.0,0,0,3.0,0.25,0.25,1.0,194.0,10.0,10.0,10.0,10.0,10.0
135,23409.0,970,2017,2,17,154,210,Haas F1 Team,Grosjean,shanghai,11.0,0.0,12,19.0,107259.94545454545,1:35.223,\N,\N,17.0,0,0.0,0.0,0,0,-14.0,0.75,1.0,0.0,194.0,20.0,10.0,10.0,10.0,10.0
126,23410.0,970,2017,2,17,807,4,Renault,Hülkenberg,shanghai,12.0,0.0,13,7.0,107566.36363636363,1:34.453,1:33.636,1:33.580,7.0,0,0.0,0.0,0,0,0.0,1.5,1.625,1.0,194.0,11.0,10.0,10.0,10.0,10.0
127,23411.0,970,2017,2,17,835,4,Renault,Palmer,shanghai,13.0,0.0,14,20.0,107603.61818181818,1:35.279,\N,\N,18.0,0,0.0,0.0,0,0,0.0,1.5625,1.625,0.0,194.0,19.0,10.0,10.0,10.0,10.0
122,23412.0,970,2017,2,17,13,3,Williams,Massa,shanghai,14.0,0.0,5,6.0,107716.10909090909,1:34.205,1:33.759,1:33.507,6.0,0,8.0,8.0,0,0,1.0,0.5263157894736842,0.875,0.0,194.0,6.0,10.0,10.0,10.0,10.0
129,23413.0,970,2017,2,17,828,15,Sauber,Ericsson,shanghai,15.0,0.0,16,14.0,108233.74545454545,1:34.892,1:35.046,\N,14.0,0,0.0,0.0,0,0,-4.0,1.5,1.25,0.0,194.0,18.0,10.0,10.0,10.0,10.0
131,23414.0,970,2017,2,17,4,1,McLaren,Alonso,shanghai,16.0,1.0,15,13.0,111278.27272727272,1:34.499,1:34.372,\N,13.0,0,0.0,0.0,0,0,-2.0,1.8421052631578947,1.75,0.0,194.0,14.0,10.0,10.0,10.0,10.0
91,23415.0,970,2017,2,17,826,5,Toro Rosso,Kvyat,shanghai,17.0,1.0,17,9.0,122014.44444444444,1:34.440,1:34.034,1:33.719,9.0,0,2.0,6.0,0,0,0.0,1.3333333333333333,1.5,1.0,194.0,9.0,10.0,10.0,10.0,10.0
