ResultId,Drivers points,Qualifying position,Result_Race-1,Total gained/lost positions,Index DNF/Driver,Average Lost laps
23419.0,21.5,3.0,2.0,1.0,0.6000000000000001,0.0
23420.0,21.5,2.0,1.0,-1.0,0.0,0.0
23421.0,11.5,1.0,6.0,-3.0,0.3,0.0
23422.0,11.0,5.0,5.0,-1.0,0.8999999999999999,0.0
23423.0,6.0,4.0,4.0,5.0,1.7999999999999998,0.0
23424.0,4.0,8.0,14.0,-7.0,0.631578947368421,0.5
23425.0,4.0,18.0,9.0,2.0,0.3,1.0
23426.0,0.0,9.0,11.0,-6.0,0.8999999999999999,0.5
23427.0,0.0,7.0,12.0,-5.0,1.7999999999999998,1.0
23428.0,1.0,14.0,10.0,10.0,0.3,1.0
23429.0,0.0,13.0,10.0,0.0,1.0,0.0
23430.0,1.0,11.0,17.0,-8.0,1.6,0.5
23431.0,0.0,10.0,13.0,7.0,1.875,0.5
23432.0,0.0,15.0,16.0,-5.0,2.210526315789473,0.0
23433.0,0.0,19.0,15.0,-5.0,1.7999999999999998,0.5
23434.0,5.0,16.0,7.0,4.0,2.4000000000000004,0.5
23435.0,0.0,12.0,20.0,-6.0,1.2000000000000002,0.0
23436.0,12.5,6.0,3.0,13.0,2.1,0.0
23437.0,2.0,20.0,8.0,6.0,1.5,0.5
23438.0,0.0,17.0,18.0,2.0,1.7999999999999998,1.0
23439.0,12.666666666666666,3.0,3.0,-5.0,0.15,0.0
23440.0,22.666666666666668,1.0,1.0,3.0,0.3,0.0
23441.0,11.333333333333334,2.0,4.0,0.0,0.4499999999999999,0.0
23442.0,20.33333333333333,4.0,2.0,-1.0,0.0,0.0
23443.0,8.333333333333334,7.0,18.0,1.0,1.0499999999999998,0.0
23444.0,4.666666666666667,9.0,7.0,13.0,0.15,0.6666666666666666
23445.0,1.0,10.0,10.0,14.0,0.15,0.6666666666666666
23446.0,0.6666666666666666,8.0,9.0,-7.0,0.8999999999999999,0.6666666666666666
23447.0,5.333333333333333,6.0,6.0,-5.0,0.3157894736842105,0.3333333333333333
23448.0,3.333333333333333,11.0,16.0,4.0,1.2000000000000002,0.3333333333333333
23449.0,0.0,12.0,17.0,-11.0,0.6000000000000001,0.0
23450.0,0.6666666666666666,13.0,12.0,-9.0,0.8,0.6666666666666666
23451.0,1.3333333333333333,14.0,19.0,7.0,0.75,0.3333333333333333
23452.0,0.0,17.0,20.0,-1.0,0.8999999999999999,0.6666666666666666
23453.0,0.0,19.0,15.0,-1.0,0.8999999999999999,0.3333333333333333
23454.0,0.0,18.0,11.0,2.0,0.5,0.3333333333333333
23455.0,7.333333333333333,5.0,5.0,4.0,0.8999999999999999,0.0
23456.0,0.0,16.0,13.0,4.0,0.9375,0.6666666666666666
23457.0,1.3333333333333333,20.0,8.0,-5.0,0.4499999999999999,0.3333333333333333
23458.0,0.0,15.0,14.0,-4.0,1.1052631578947367,0.0
23459.0,18.25,1.0,4.0,-1.0,0.0,0.0
23460.0,21.5,2.0,2.0,2.0,0.4,0.0
23461.0,5.5,6.0,17.0,-8.0,1.2,0.0
23462.0,5.5,8.0,6.0,16.0,0.2,0.5
23463.0,2.25,10.0,7.0,17.0,0.2,0.5
23464.0,1.5,13.0,8.0,-7.0,1.2,0.5
23465.0,2.75,12.0,10.0,8.0,1.6,0.5
23466.0,0.0,15.0,16.0,3.0,0.6666666666666666,0.75
23467.0,0.5,20.0,12.0,-9.0,1.0666666666666669,0.75
23468.0,1.0,14.0,19.0,-5.0,0.6,0.25
23469.0,0.0,16.0,15.0,2.0,1.2,0.5
23470.0,0.0,7.0,20.0,-9.0,1.4736842105263157,0.0
23471.0,4.5,9.0,9.0,-8.0,0.4210526315789473,0.5
23472.0,1.0,11.0,13.0,7.0,1.0,0.5
23473.0,0.0,17.0,18.0,2.0,1.25,0.5
23474.0,0.0,18.0,11.0,-11.0,0.8,0.25
23475.0,15.75,3.0,1.0,-3.0,0.2,0.0
23476.0,0.0,19.0,14.0,5.0,1.2,0.75
23477.0,8.75,5.0,5.0,3.0,1.4,0.0
23478.0,12.25,4.0,3.0,-1.0,0.6,0.0
23479.0,20.8,2.0,2.0,2.0,0.5,0.0
23480.0,9.8,1.0,20.0,-17.0,0.75,0.0
23481.0,7.4,5.0,3.0,-5.0,1.5,0.0
23482.0,12.6,3.0,17.0,-17.0,0.25,0.0
23483.0,7.0,4.0,19.0,-11.0,1.75,0.0
23484.0,3.4,6.0,7.0,13.0,2.0,0.6
23485.0,19.6,14.0,1.0,-1.0,0.0,0.0
23486.0,1.0,8.0,10.0,-1.0,0.75,0.4
23487.0,3.6,15.0,13.0,-12.0,0.5263157894736842,0.8
23488.0,0.8,13.0,14.0,4.0,1.25,0.8
23489.0,0.0,17.0,15.0,4.0,1.5625,0.8
23490.0,3.8,16.0,5.0,22.0,0.25,0.6
23491.0,6.8,7.0,4.0,20.0,0.25,0.6
23492.0,0.8,11.0,9.0,1.0,1.3333333333333333,0.8
23493.0,0.0,18.0,16.0,-9.0,1.0,0.6
23494.0,0.0,10.0,18.0,7.0,1.5,0.6
23495.0,0.0,20.0,11.0,7.0,1.5,0.8
23496.0,0.0,9.0,10.0,0.0,5.0,0.0
23497.0,0.8,19.0,8.0,10.0,0.8333333333333333,0.8
23498.0,2.8,12.0,6.0,0.0,1.5,0.6
23499.0,17.333333333333332,1.0,7.0,5.0,0.0,0.0
23500.0,12.5,3.0,4.0,-18.0,0.2,0.0
23501.0,8.666666666666666,6.0,3.0,-3.0,1.2,0.0
23502.0,21.5,2.0,1.0,3.0,0.4,0.0
23503.0,5.666666666666667,8.0,13.0,14.0,0.2,0.5
23504.0,3.1666666666666665,9.0,12.0,25.0,0.2,0.5
23505.0,11.166666666666666,4.0,2.0,-18.0,0.6,0.0
23506.0,2.333333333333333,10.0,20.0,-10.0,1.2,0.5
23507.0,0.0,17.0,15.0,-7.0,0.8,0.5
23508.0,1.5,14.0,8.0,-1.0,0.6,0.3333333333333333
23509.0,0.0,15.0,11.0,9.0,1.25,0.6666666666666666
23510.0,0.8333333333333334,18.0,10.0,5.0,1.0,0.6666666666666666
23511.0,0.0,19.0,17.0,9.0,1.2,0.6666666666666666
23512.0,0.0,16.0,16.0,3.0,1.2,0.5
23513.0,0.6666666666666666,20.0,19.0,9.0,0.6666666666666666,0.6666666666666666
23514.0,0.0,12.0,12.0,-14.0,1.4736842105263157,0.3333333333333333
23515.0,0.6666666666666666,11.0,14.0,-4.0,1.0666666666666669,0.6666666666666666
23516.0,7.5,5.0,5.0,-12.0,1.4,0.0
23517.0,3.333333333333333,7.0,9.0,-7.0,0.4210526315789473,0.6666666666666666
23518.0,4.166666666666667,13.0,6.0,13.0,1.6,0.5
23519.0,9.571428571428571,10.0,3.0,0.0,1.7999999999999998,0.0
23520.0,13.285714285714286,2.0,2.0,-17.0,0.3,0.0
23521.0,0.2857142857142857,8.0,9.0,1.0,1.2000000000000002,0.5714285714285714
23522.0,20.142857142857142,4.0,4.0,1.0,0.6000000000000001,0.0
23523.0,18.428571428571427,1.0,1.0,5.0,0.0,0.0
23524.0,3.857142857142857,7.0,6.0,28.0,0.3,0.4285714285714285
23525.0,0.7142857142857143,13.0,12.0,11.0,1.5,0.7142857142857143
23526.0,3.571428571428572,12.0,20.0,6.0,2.4000000000000004,0.4285714285714285
23527.0,0.0,16.0,16.0,-18.0,2.210526315789473,0.2857142857142857
23528.0,0.5714285714285714,15.0,15.0,14.0,1.0,0.8571428571428571
23529.0,0.0,18.0,13.0,15.0,1.7999999999999998,0.7142857142857143
23530.0,0.0,19.0,14.0,5.0,1.7999999999999998,0.5714285714285714
23531.0,1.4285714285714286,17.0,10.0,3.0,0.8999999999999999,0.4285714285714285
23532.0,10.428571428571429,3.0,7.0,-21.0,0.8999999999999999,0.0
23533.0,6.285714285714286,6.0,5.0,17.0,0.3,0.4285714285714285
23534.0,2.857142857142857,9.0,19.0,-19.0,0.631578947368421,0.5714285714285714
23535.0,2.571428571428572,14.0,8.0,-8.0,1.7999999999999998,0.4285714285714285
23536.0,6.428571428571429,5.0,18.0,-25.0,2.1,0.0
23537.0,0.5714285714285714,11.0,17.0,-10.0,1.6,0.5714285714285714
23538.0,0.0,20.0,11.0,13.0,1.875,0.7142857142857143
23542.0,13.875,1.0,2.0,-17.0,0.2,0.0
23543.0,19.125,2.0,4.0,1.0,0.4,0.0
23544.0,11.5,5.0,1.0,9.0,1.2,0.0
23545.0,17.375,3.0,5.0,1.0,0.0,0.0
23546.0,9.125,4.0,14.0,-32.0,0.6,0.0
23547.0,1.25,7.0,13.0,6.0,0.6,0.5
23548.0,5.5,8.0,15.0,8.0,0.2,0.375
23549.0,4.375,9.0,6.0,29.0,0.2,0.375
23550.0,2.5,17.0,16.0,-26.0,0.4210526315789473,0.5
23551.0,2.125,18.0,3.0,6.0,0.8,0.5
23552.0,0.0,16.0,20.0,13.0,1.25,0.625
23553.0,0.0,13.0,12.0,11.0,1.2,0.5
23554.0,2.25,11.0,17.0,-12.0,1.2,0.375
23555.0,0.625,20.0,10.0,18.0,0.6666666666666666,0.75
23556.0,0.0,19.0,11.0,21.0,1.2,0.625
23557.0,0.5,14.0,19.0,-18.0,1.0666666666666669,0.5
23558.0,3.625,10.0,8.0,13.0,1.6,0.375
23559.0,1.375,15.0,7.0,16.0,1.0,0.625
23560.0,0.25,12.0,9.0,-8.0,1.4736842105263157,0.25
23561.0,5.625,6.0,18.0,-38.0,1.4,0.0
23562.0,16.77777777777778,1.0,4.0,5.0,0.0,0.0
23563.0,15.11111111111111,4.0,1.0,-17.0,0.15,0.0
